,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2.0,1.0,326.03,1.29,4.156063610610353,6165.6,0.231,450.81864661654146,1055.3594080338266,4742.0,19.0,2.7,-0.35,2.31,4.44038,0.0
1,1.0,1.0,516.21997,1.53,4.156063610610353,4684.8142,0.08,450.81864661654146,1055.3594080338266,4213.0,29.79,2.78,-0.02,1.93,4.5621599999999995,0.0
2,1.0,1.0,185.84,0.83,4.156063610610353,1525.5,0.0,450.81864661654146,1055.3594080338266,4813.0,11.0,2.2,-0.24,2.63,4.91781,0.0
3,1.0,2.0,1773.4000199999998,2.93,4.156063610610353,1481.0878,0.37,450.81864661654146,1055.3594080338266,5338.0,0.93,0.9,0.41,4.45,6.382999999999999,0.0
4,3.0,1.0,798.5,1.66,4.156063610610353,565.7374,0.68,450.81864661654146,1055.3594080338266,5750.0,1.13,1.08,0.06,4.36,6.06428,0.0
5,1.0,1.0,578.38,1.45,4.156063610610353,1373.01872,0.06,450.81864661654146,1055.3594080338266,4157.0,25.92,1.22,-0.01,1.7,4.75429,0.0
6,2.0,1.0,993.3,2.6,4.156063610610353,3273.5,0.08,450.81864661654146,1055.3594080338266,4979.0,8.5,2.3,-0.052000000000000005,2.82,5.27476,0.0
7,1.0,1.0,86892.9125491974,330.0,4.156063610610353,3000.0,0.15462133559705715,450.81864661654146,1700.0,4060.0,1.5037387486278815,0.85,0.008792358803986709,4.369123805188894,12.0572,0.0
8,1.0,1.0,30.3506,0.19,4.156063610610353,289.2253,0.042,450.81864661654146,1055.3594080338266,4893.0,10.64,0.99,-0.77,2.42,5.3339,0.0
9,1.0,2.0,452.8,1.3330000000000002,4.156063610610353,632.46,0.09,450.81864661654146,1055.3594080338266,5098.0,4.9,1.54,-0.03,3.5,6.20374,0.0
10,1.0,2.0,883.0,2.08,4.156063610610353,273.32,0.29,450.81864661654146,1055.3594080338266,5098.0,4.9,1.54,-0.03,3.5,6.20374,0.0
11,1.0,1.0,86892.9125491974,118.0,4.156063610610353,1271.31363,0.15462133559705715,450.81864661654146,1450.0,3100.0,0.84,0.17,0.01,4.5,14.3374,0.0
12,2.0,1.0,86892.9125491974,84.0,4.156063610610353,4131.79,0.15462133559705715,450.81864661654146,1055.3594080338266,5444.395987959579,1.5037387486278815,0.19,0.008792358803986709,4.369123805188894,12.534734844941957,0.0
13,1.0,1.0,86892.9125491974,52.0,4.156063610610353,7786.5,0.15462133559705715,450.81864661654146,1055.3594080338266,3530.0,1.5037387486278815,0.4,0.008792358803986709,4.369123805188894,12.9025,0.0
14,1.0,1.0,86892.9125491974,156.0,16.141,4417.837,0.15462133559705715,450.81864661654146,1055.3594080338266,3064.0,0.28,0.11,0.008792358803986709,4.59,15.0123,0.0
15,1.0,1.0,86892.9125491974,15.0,4.156063610610353,2383.6,0.15462133559705715,450.81864661654146,1055.3594080338266,5444.395987959579,1.5037387486278815,0.02,0.008792358803986709,4.369123805188894,18.9668,0.0
16,1.0,1.0,86892.9125491974,55.0,4.156063610610353,1589.15,0.15462133559705715,450.81864661654146,1250.0,5444.395987959579,1.5037387486278815,0.02,0.008792358803986709,4.369123805188894,17.4076,0.0
17,2.0,3.0,406.0,11.661026827573922,4.156063610610353,591.16084,0.33,450.81864661654146,1055.3594080338266,29564.0,0.2,0.48,0.008792358803986709,5.51,12.1376,0.0
18,1.0,1.0,7336.5,11.661026827573922,10.31,6657.48,0.26,450.81864661654146,2075.0,2300.0,0.12,0.08,0.008792358803986709,4.369123805188894,17.3961,0.0
19,1.0,1.0,86892.9125491974,230.0,4.156063610610353,3972.875,0.15462133559705715,450.81864661654146,1055.3594080338266,4045.0,1.5037387486278815,0.6,0.008792358803986709,4.369123805188894,11.9484,0.0
20,4.0,1.0,335.10001,0.99,4.156063610610353,4392.4106,0.29,450.81864661654146,1055.3594080338266,6331.0,1.41,1.93,0.19,4.43,6.96085,0.0
21,1.0,1.0,269.3,0.87,4.156063610610353,2256.5,0.43200000000000005,450.81864661654146,1055.3594080338266,4415.0,18.11,1.23,-0.25,1.8,4.23773,0.0
22,2.0,1.0,479.1,1.19,4.156063610610353,1233.13,0.38,450.81864661654146,1055.3594080338266,4200.0,22.03,0.98,-0.46,1.71,4.43216,0.0
23,1.0,3.0,1078.0,2.1,4.156063610610353,804.08,0.032,450.81864661654146,1055.3594080338266,5872.0,1.21,1.06,0.04,4.3,4.878369999999999,0.0
24,1.0,3.0,2391.0,3.6,4.156063610610353,171.62099999999998,0.098,450.81864661654146,1055.3594080338266,5872.0,1.21,1.06,0.04,4.3,4.878369999999999,0.0
25,1.0,3.0,14002.0,11.6,4.156063610610353,521.22,0.16,450.81864661654146,1055.3594080338266,5872.0,1.21,1.06,0.04,4.3,4.878369999999999,0.0
26,3.0,1.0,86892.9125491974,13.2,4.156063610610353,635.66,0.15462133559705715,450.81864661654146,700.0,5444.395987959579,1.5037387486278815,1.75,-0.027000000000000003,4.369123805188894,5.15806,0.0
27,1.0,1.0,4.230785,0.0527,4.156063610610353,150.009,0.013000000000000001,450.81864661654146,1055.3594080338266,5758.0,1.18,1.03,0.18,4.31,5.28647,0.0
28,2.0,5.0,14.6516,0.1134,4.156063610610353,255.4,0.0,450.81864661654146,1055.3594080338266,5172.0,0.94,0.91,0.35,4.43,5.72973,0.0
29,2.0,5.0,44.3989,0.2373,4.156063610610353,51.2,0.03,450.81864661654146,1055.3594080338266,5172.0,0.94,0.91,0.35,4.43,5.72973,0.0
30,2.0,5.0,5574.2,5.957000000000001,4.156063610610353,991.6,0.13,450.81864661654146,1055.3594080338266,5172.0,0.94,0.91,0.35,4.43,5.72973,0.0
31,2.0,5.0,0.7365474,0.01544,1.875,7.99,0.05,450.81864661654146,1055.3594080338266,5172.0,0.94,0.91,0.35,4.43,5.72973,0.0
32,2.0,5.0,259.88,0.7708,4.156063610610353,47.8,0.08,450.81864661654146,1055.3594080338266,5172.0,0.94,0.91,0.35,4.43,5.72973,0.0
33,1.0,1.0,934.3,2.11,4.156063610610353,638.8383,0.073,450.81864661654146,1055.3594080338266,4938.0,5.2,1.44,0.008792358803986709,3.19,5.60686,0.0
34,1.0,3.0,4.215,0.050200999999999996,4.156063610610353,5.1,0.12,450.81864661654146,1055.3594080338266,5577.0,0.96,0.94,-0.01,4.34,4.54052,0.0
35,1.0,3.0,38.021,0.2175,4.156063610610353,18.2,0.14,450.81864661654146,1055.3594080338266,5577.0,0.96,0.94,-0.01,4.34,4.54052,0.0
36,1.0,3.0,123.01,0.47600000000000003,4.156063610610353,22.9,0.35,450.81864661654146,1055.3594080338266,5577.0,0.96,0.94,-0.01,4.34,4.54052,0.0
37,1.0,2.0,735.1,1.758,4.156063610610353,587.9855,0.06,450.81864661654146,1055.3594080338266,4826.0,4.87,1.34,0.21,3.19,3.6785300000000003,0.0
38,1.0,2.0,996.0,2.153,4.156063610610353,276.5121,0.08,450.81864661654146,1055.3594080338266,4826.0,4.87,1.34,0.21,3.19,3.6785300000000003,0.0
39,1.0,1.0,116.68799999999999,0.48100000000000004,4.156063610610353,2357.0272800000002,0.3988,450.81864661654146,1055.3594080338266,5495.0,1.89,1.09,0.008792358803986709,3.95,4.76178,0.0
40,2.0,1.0,691.9,2.1,4.156063610610353,953.49,0.11699999999999999,450.81864661654146,1055.3594080338266,4846.0,10.5,2.49,0.0,2.63,5.093430000000001,0.0
41,1.0,1.0,93.4,0.49,4.156063610610353,416.3573,0.06,450.81864661654146,1055.3594080338266,4847.0,10.3,1.44,-0.03,2.57,6.558960000000001,0.0
42,1.0,1.0,952.7,2.5,4.156063610610353,1684.4,0.20600000000000002,450.81864661654146,1055.3594080338266,4785.0,11.0,2.4,-0.06,2.35,5.37588,0.0
43,3.0,1.0,181.4,0.7,4.156063610610353,1017.0,0.027000000000000003,450.81864661654146,1055.3594080338266,4665.0,11.0,1.4,-0.03,2.52,3.9531099999999997,0.0
44,1.0,1.0,86892.9125491974,93.9,4.156063610610353,2860.45566,0.4,450.81864661654146,1055.3594080338266,9770.0,1.5037387486278815,2.4,0.008792358803986709,4.369123805188894,7.078539999999999,0.0
45,1.0,1.0,86892.9125491974,260.0,4.156063610610353,4290.5,0.15462133559705715,450.81864661654146,1055.3594080338266,5444.395987959579,1.5037387486278815,0.9675646450399625,0.008792358803986709,4.369123805188894,8.8378,0.0
46,1.0,2.0,8.463,0.0645,4.07,17.0,0.0,450.81864661654146,593.0,3700.0,0.75,0.5,0.008792358803986709,4.369123805188894,7.840380000000001,0.0
47,1.0,2.0,18.859019,0.1101,3.24,13.6,0.0,450.81864661654146,454.0,3700.0,0.75,0.5,0.008792358803986709,4.369123805188894,7.840380000000001,0.0
48,1.0,1.0,481.9,1.3,4.156063610610353,2034.112,0.2,450.81864661654146,1055.3594080338266,4095.0,32.35,1.14,-0.71,1.89,8.9977,0.0
49,1.0,1.0,268.94,0.78,4.156063610610353,330.5432,0.29,450.81864661654146,1055.3594080338266,4864.0,0.86,0.49,0.17,4.26,9.35108,0.0
50,1.0,1.0,153.22,0.5760000000000001,4.156063610610353,337.21763,0.001,450.81864661654146,1055.3594080338266,4649.0,8.95,1.08,-0.22,2.61,9.9918,0.0
51,1.0,1.0,137.48,0.539,4.156063610610353,352.78,0.26,450.81864661654146,1055.3594080338266,4796.0,14.7,1.1,0.28,2.8,8.7178,0.0
52,1.0,2.0,379.63,1.05,4.156063610610353,17668.1697,0.15,450.81864661654146,1055.3594080338266,4259.0,71.02,10.83,-0.79,1.77,9.22684,0.0
53,1.0,2.0,621.99,2.01,4.156063610610353,3963.17,0.18,450.81864661654146,1055.3594080338266,4137.0,49.0,2.8,-1.0,1.51,9.22684,0.0
54,1.0,1.0,578.2,1.3,4.156063610610353,1334.886,0.21,450.81864661654146,1055.3594080338266,4296.0,17.3,0.8,-0.46,1.99,8.91613,0.0
55,1.0,1.0,41.6855,11.661026827573922,2.5780000000000003,22.2481,0.0,450.81864661654146,1055.3594080338266,5766.0,1.08,1.67,-0.15,4.5,10.8644,0.0
