Name,Type,"Mass
(ME)","Radius
(RE)","Flux
(SE)","Tsurf
(K)","Period
(days)","Distance
(ly)",ESI,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-18 b,M-Warm Superterran,8.92,2.37,1.26,~ 303,32.9,124,0.7,K2-18 b,K2-18,1,1,2,Transit,2015,K2,Published Confirmed,0,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>,32.939623,9.5E-05,-0.0001,0,0.1429,0.006,-0.0065,0,2.37,0.22,-0.22,0,0.211,0.02,-0.02,0,8.92,1.7,-1.6,0,0.02807,0.00535,-0.00503,0,Mass,0.2,0.08,-0.08,0,,,,,284,15,-15,0,0,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>,,3457,39,-39,0,0.41,0.04,-0.04,0,0.36,0.05,-0.05,0,0.12,0.16,-0.16,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h30m14.43s,172.560141,+07d35m16.19s,7.5878315,38.0266,0.07955,-0.07955,13.477,0.042,-0.042,8.899,0.019,-0.019,12.4154,0.000502,-0.000502,2019-03-18,2018-06,2019-03-21
Kepler-1606 b,G-Warm Superterran,~ 4.93,2.07,1.64,~ 325,196.4,2710,0.7,Kepler-1606 b,Kepler-1606,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,196.435224,0.003935,-0.003935,0,,,,,2.07,0.23,-0.15,0,0.185,0.021,-0.013,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5422,59.86,-63.5,0,0.86,0.08,-0.05,0,0.9,0.04,-0.04,0,0.01,0.144,-0.162,0,[Fe/H],4.53,0.04,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m30.79s,286.3782987,+43d04m23.62s,43.0732287,831.287,18.466,-17.694,15.396,0.126,-0.126,13.4,0.037,-0.037,15.1062,0.00037,-0.00037,2016-05-06,2016-05,2016-05-10
K2-9 b,M-Warm Superterran,~ 5.69,2.25,1.45,~ 316,18.4,270,0.7,K2-9 b,K2-9,1,1,1,Transit,2015,K2,Published Confirmed,0,<a refstr=SCHLIEDER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...818...87S/abstract target=ref>Schlieder et al. 2016</a>,18.4498,0.0015,-0.0015,0,0.091,0.013,-0.016,0,2.25,0.53,-0.96,0,0.201,0.047,-0.086,0,,,,,,,,,,,,,,1.36,1.59,-0.81,0,314,67,-64,0,0,<a refstr=SCHLIEDER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...818...87S/abstract target=ref>Schlieder et al. 2016</a>,M2.5 V,3390,150,-150,0,0.31,0.11,-0.11,0,0.3,0.14,-0.14,0,-0.25,0.2,-0.2,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h45m03.29s,176.263724,+00d00m19.47s,0.0054085,82.9631,0.3747,-0.3714,15.86,0.195,-0.195,11.495,0.023,-0.023,14.8665,0.000584,-0.000584,2016-01-20,2016-02,2016-01-21
GJ 180 c,M-Warm Superterran,≥ 6.40,~ 2.41,0.78,~ 270,24.3,39,0.7,GJ 180 c,GJ 180,1,1,3,Radial Velocity,2014,Multiple Observatories,Published Confirmed,0,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,24.329,0.052,-0.066,0,0.129,0.007,-0.017,0,,,,,,,,,6.4,3.7,-4.1,0,0.02014,0.01164,-0.0129,0,Msini,0.09,0.2,-0.09,0,,,,,,,,,0,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,M2 V,3371,,,0,,,,,0.43,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h53m50.42s,73.460097,-17d46m34.30s,-17.776194,11.9407,0.0045,-0.0045,10.914,0.026,-0.026,6.598,0.021,-0.021,9.93395,0.000396,-0.000396,2019-10-04,2014-06,2019-10-10
GJ 163 c,M-Warm Superterran,≥ 6.80,~ 2.50,1.25,~ 304,25.6,49,0.69,GJ 163 c,GJ 163,1,1,3,Radial Velocity,2013,La Silla Observatory,Published Confirmed,0,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,25.63058,0.0255,-0.0255,0,0.1254,0.0001,-0.0001,0,,,,,,,,,6.8,0.9,-0.9,0,0.0214,0.00283,-0.00283,0,Msini,0.099,0.086,-0.086,0,,,,,,,,,0,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h09m17.48s,62.3228353,-53d22m16.24s,-53.3711768,15.1285,0.0072,-0.0072,11.79,0.1,-0.1,7.135,0.021,-0.021,10.6771,0.000792,-0.000792,2017-01-24,2013-08,2017-01-26
Kepler-1540 b,K-Warm Superterran,~ 6.77,2.49,0.78,~ 270,125.4,799,0.69,Kepler-1540 b,Kepler-1540,1,2,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,125.4131177,0.0004189,-0.0004189,0,,,,,2.49,0.19,-0.14,0,0.222,0.017,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4540,69.37,-88.2,0,0.69,0.03,-0.03,0,0.74,0.03,-0.04,0,0.1,0.154,-0.196,0,[Fe/H],4.63,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h53m22.69s,283.3445555,+41d12m06.32s,41.2017544,244.96,0.903,-0.896,14.429,0.08,-0.08,11.519,0.023,-0.023,14.0831,0.000281,-0.000281,2016-05-06,2016-05,2016-05-10
Kepler-174 d,K-Warm Superterran,~ 5.43,2.19,0.59,~ 252,247.4,1254,0.68,Kepler-174 d,Kepler-174,1,1,3,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,247.35373,0.002001,-0.002001,0,0.677,,,0,2.19,0.13,-0.13,0,0.195,0.012,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4880,126,-126,0,0.62,0.03,-0.03,0,,,,,,,,,,4.68,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m45.35s,287.4389454,+43d49m55.22s,43.8320052,384.757,2.684,-2.684,14.53,0.057,-0.057,12.184,0.018,-0.018,14.2858,0.000242,-0.000242,2014-05-14,2014-03,2014-05-14
HD 40307 g,K-Warm Superterran,≥ 7.09,~ 2.57,0.67,~ 256,197.8,42,0.66,HD 40307 g,HD 40307,1,1,5,Radial Velocity,2013,La Silla Observatory,Published Confirmed,1,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,197.8,5.7,-9,0,0.6,0.034,-0.033,0,,,,,,,,,7.1,2.6,-2.6,0,0.0223,0.0082,-0.0082,0,Msini,0.29,0.31,-0.29,0,,,,,,,,,0,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,50,-50,0,,,,,0.77,0.05,-0.05,0,-0.31,0.03,-0.03,0,[Fe/H],4.47,0.16,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,0.0047,-0.0046,7.17,0.03,-0.03,4.793,0.016,-0.016,6.84367,0.00026,-0.00026,2014-05-14,2013-01,2014-05-14
Kepler-296 f,M-Warm Superterran,~ 3.91,1.8,0.44,~ 229,63.3,544,0.66,Kepler-296 f,Kepler-296,1,2,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>,63.33627,0.0006,-0.00062,0,0.255,0.043,-0.042,0,1.8,0.31,-0.3,0,0.161,0.028,-0.027,0,,,,,,,,,,0.33,,,1,0.62,0.11,-0.1,0,,,,,0,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>,,3740,130,-130,0,0.48,0.07,-0.09,0,0.5,0.07,-0.09,0,-0.08,0.28,-0.3,0,[Fe/H],4.77,0.09,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2015-09-02,2015-08,2015-09-03
HIP 38594 b,M-Warm Superterran,≥ 8.10,~ 2.77,1.34,~ 308,60.7,58,0.65,HIP 38594 b,HIP 38594,1,1,2,Radial Velocity,2020,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,60.722,0.122,-0.122,0,0.256,0.003,-0.003,0,,,,,,,,,8.1,1.7,-1.7,0,0.02549,0.00535,-0.00535,0,Msini,0.17,0.11,-0.11,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,M0,,,,,,,,,0.61,0.02,-0.02,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h54m10.54s,118.5439118,-25d18m08.31s,-25.3023073,17.7886,0.0095,-0.0095,9.75,0.1,-0.1,6.169,0.021,-0.021,9.08528,0.000271,-0.000271,2020-09-08,2020-08,2020-09-03
K2-288 B b,M-Warm Superterran,~ 4.26,1.91,0.44,~ 234,31.4,214,0.65,K2-288 B b,K2-288 B,1,2,1,Transit,2018,K2,Published Confirmed,0,<a refstr=FEINSTEIN_ET_AL__2019 href=http://iopscience.iop.org/article/10.3847/1538-3881/aafa70 target=ref>Feinstein et al. 2019</a>,31.393463,6.7E-05,-6.9E-05,0,0.164,0.03,-0.03,0,1.9,0.3,-0.3,0,0.17,0.027,-0.027,0,,,,,,,,,,,,,,,,,,226,22,-22,0,0,<a refstr=FEINSTEIN_ET_AL__2019 href=http://iopscience.iop.org/article/10.3847/1538-3881/aafa70 target=ref>Feinstein et al. 2019</a>,M3 V,3341,276,-276,0,0.32,0.03,-0.03,0,0.33,0.02,-0.02,0,-0.21,0.09,-0.09,0,[Fe/H],4.96,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h41m46.63s,55.4442857,+18d16m06.57s,18.2684913,65.6138,0.8821,-0.8594,,,,,,,14.5451,0.001737,-0.001737,2019-01-04,2019-01,2019-01-10
HD 216520 c,K-Warm Superterran,≥ 9.44,~ 3.04,1.28,~ 305,154.4,64,0.63,HD 216520 c,HD 216520,1,1,2,Radial Velocity,2020,Multiple Observatories,Published Confirmed,0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,154.43,0.44,-0.44,0,0.528,0.01,-0.01,0,,,,,,,,,9.44,1.63,-1.63,0,0.0297,0.00513,-0.00513,0,Msini,0.12,0.08,-0.08,0,,,,,,,,,0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,,5103,20,-20,0,0.76,0.01,-0.01,0,0.82,0.04,-0.04,0,-0.16,,,0,[Fe/H],4.54,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h47m30.45s,341.8768719,+83d41m51.11s,83.6975307,19.552,0.0113,-0.0113,7.53,0.03,-0.03,5.449,0.021,-0.021,7.27896,0.000218,-0.000218,2020-12-10,2021-01,2020-12-17
GJ 3293 d,M-Warm Superterran,≥ 7.60,~ 2.67,0.59,~ 251,48.1,66,0.63,GJ 3293 d,GJ 3293,1,1,4,Radial Velocity,2017,La Silla Observatory,Published Confirmed,0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,48.1345,0.0628,-0.0661,0,0.19394,0.00017,-0.00018,0,,,,,,,,,7.6,1.05,-1.05,0,0.02391,0.0033,-0.0033,0,Msini,0.12,0.13,-0.09,0,0.59,,,0,,,,,0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,M2.5,3466,49,-49,0,0.4,0.03,-0.03,0,0.42,,,0,0.02,0.09,-0.09,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h28m35.63s,67.1484425,-25d10m16.82s,-25.1713396,20.1903,0.0216,-0.0216,11.945,0.037,-0.037,7.486,0.033,-0.033,10.9788,0.000878,-0.000878,2017-03-29,2017-06,2017-03-30
LHS 1140 b,M-Warm Superterran,6.38,1.64,0.36,~ 222,24.7,49,0.62,LHS 1140 b,LHS 1140,1,1,2,Transit,2017,MEarth Project,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.121L/abstract target=ref>Lillo-Box et al. 2020</a>,24.73694,0.00041,-0.0004,0,0.0957,0.0019,-0.0019,0,1.635,0.046,-0.046,0,0.146,0.004,-0.004,0,6.38,0.46,-0.44,0,0.02007,0.00145,-0.00138,0,Mass,0.096,,,1,,,,,379,4,-4,0,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.121L/abstract target=ref>Lillo-Box et al. 2020</a>,,2988,67,-67,0,0.21,0,0,0,0.19,0.01,-0.01,0,-0.262,0.104,-0.104,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m59.67s,11.248632,-15d16m26.79s,-15.2741085,14.9861,0.0153,-0.0152,14.15,0.062,-0.062,8.821,0.024,-0.024,12.6706,0.000356,-0.000356,2021-05-17,2020-10,2021-05-17
GJ 229 A c,M-Warm Superterran,≥ 7.27,~ 2.60,0.53,~ 244,122,19,0.62,GJ 229 A c,GJ 229,1,2,2,Radial Velocity,2020,Multiple Facilities,Published Confirmed,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,121.995,0.161,-0.161,0,0.339,0.011,-0.011,0,,,,,,,,,7.268,1.256,-1.256,0,0.02287,0.00395,-0.00395,0,Msini,0.19,0.08,-0.08,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,,,,,,,,,,0.58,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h10m34.46s,92.6435993,-21d52m03.80s,-21.8677233,5.75624,0.001525,-0.001525,8.15,0.1,-0.1,4.166,0.232,-0.232,7.30724,0.000617,-0.000617,2020-02-06,2020-01,2020-02-13
GJ 357 d,M-Warm Superterran,≥ 6.10,~ 2.34,0.38,~ 226,55.7,31,0.58,GJ 357 d,GJ 357,1,1,3,Radial Velocity,2019,Multiple Observatories,Published Confirmed,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,55.661,0.055,-0.055,0,0.204,0.015,-0.015,0,,,,,,,,,6.1,1,-1,0,0.01919,0.00315,-0.00315,0,Msini,,,,,0.38,0.01,-0.01,0,220,6,-6,0,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,M2.5 V,3505,51,-51,0,0.34,0.01,-0.01,0,0.34,0.01,-0.01,0,-0.12,0.16,-0.16,0,[Fe/H],4.94,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m01.79s,144.0074644,-21d39m54.23s,-21.6650634,9.44181,0.00511,-0.00511,10.91,0.1,-0.1,6.475,0.017,-0.017,9.88036,0.00144,-0.00144,2019-07-29,2019-08,2019-08-01
GJ 682 b,M-Warm Superterran,≥ 4.40,~ 1.94,0.31,~ 215,17.5,16,0.57,GJ 682 b,GJ 682,1,1,2,Radial Velocity,2014,Multiple Observatories,Published Confirmed,0,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,17.478,0.062,-0.04,0,0.08,0.014,-0.004,0,,,,,,,,,4.4,3.7,-2.4,0,0.01384,0.01164,-0.00755,0,Msini,0.08,0.19,-0.08,0,,,,,,,,,0,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,M3.5 V,3028,,,0,,,,,0.27,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h37m02.65s,264.2610245,-44d19m23.71s,-44.3232519,5.00671,0.0021,-0.0021,10.94,0.1,-0.1,5.606,0.02,-0.02,9.57025,0.001221,-0.001221,2019-10-04,2014-06,2019-10-10
GJ 180 d,M-Warm Superterran,≥ 7.56,~ 2.66,0.26,~ 205,106.3,39,0.48,GJ 180 d,GJ 180,1,1,3,Radial Velocity,2020,Multiple Facilities,Published Confirmed,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,106.3,0.129,-0.129,0,0.309,0.01,-0.01,0,,,,,,,,,7.56,1.07,-1.07,0,0.02379,0.00337,-0.00337,0,Msini,0.14,0.04,-0.04,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,,,,,,,,,,0.43,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h53m50.42s,73.460097,-17d46m34.30s,-17.776194,11.9407,0.0045,-0.0045,10.914,0.026,-0.026,6.598,0.021,-0.021,9.93395,0.000396,-0.000396,2020-02-06,2020-01,2020-02-13
