Name,Type,"Mass
(ME)","Radius
(RE)","Flux
(SE)","Tsurf
(K)","Period
(days)","Distance
(ly)",ESI,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
GJ 433 d,M-Warm Superterran,≥ 5.22,~ 2.14,1.06,~ 292,36.1,30,0.74,GJ 433 d,GJ 433,1,1,3,Radial Velocity,2020,Multiple Facilities,Published Confirmed,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,36.059,0.016,-0.016,0,0.178,0.006,-0.006,0,,,,,,,,,5.223,0.921,-0.921,0,0.01643,0.0029,-0.0029,0,Msini,0.07,0.05,-0.05,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,,,,,,,,,,0.48,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m26.86s,173.8619194,-32d32m37.07s,-32.5436302,9.06456,0.00367,-0.00367,9.81,0.1,-0.1,5.623,0.021,-0.021,8.89138,0.000374,-0.000374,2020-02-06,2020-01,2020-02-13
Kepler-1653 b,K-Warm Superterran,~ 5.34,2.17,1.04,~ 291,140.3,2461,0.74,Kepler-1653 b,Kepler-1653,1,1,1,Transit,2017,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,140.2524,0.003,-0.003,0,0.4706,0.0098,-0.0041,0,2.17,0.16,-0.23,0,0.194,0.014,-0.021,0,,,,,,,,,,,,,,0.98,0.18,-0.1,0,284,25,-21,0,0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,,4807,100,-100,0,0.69,0.03,-0.02,0,0.72,0.04,-0.03,0,-0.18,0.1,-0.1,0,[Fe/H],4.62,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m49.85s,296.457702,+41d15m57.68s,41.266021,,,,15.864,0.172,-0.172,13.211,0.029,-0.029,,,,2017-11-14,2017-12,2017-11-16
GJ 832 c,M-Warm Superterran,≥ 5.40,~ 2.19,0.99,~ 286,35.7,16,0.74,GJ 832 c,GJ 832,1,1,2,Radial Velocity,2014,Multiple Observatories,Published Confirmed,0,<a refstr=WITTENMYER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791..114W/abstract target=ref> Wittenmyer et al. 2014</a>,35.68,0.03,-0.03,0,0.163,0.006,-0.006,0,,,,,,,,,5.4,0.95,-0.95,0,0.017,0.003,-0.003,0,Msini,0.18,0.13,-0.13,0,,,,,,,,,0,<a refstr=WITTENMYER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791..114W/abstract target=ref> Wittenmyer et al. 2014</a>,,3472,,,0,,,,,0.45,0.05,-0.05,0,-0.3,0.2,-0.2,0,[Fe/H],4.7,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h33m33.90s,323.3912616,-49d00m45.06s,-49.0125169,4.96435,0.001065,-0.001065,8.66,0.1,-0.1,4.501,0.018,-0.018,7.73761,0.000702,-0.000702,2014-06-25,2014-08,2014-06-25
Kepler-705 b,M-Warm Superterran,~ 5.09,2.11,0.77,~ 269,56.1,903,0.73,Kepler-705 b,Kepler-705,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,56.0560538,0.0002486,-0.0002486,0,,,,,2.11,0.1,-0.08,0,0.188,0.009,-0.007,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,3722,29.96,-32.88,0,0.51,0.01,-0.02,0,0.53,0.02,-0.02,0,0.07,0.073,-0.069,0,[Fe/H],4.75,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h18m02.05s,289.5085612,+41d48m43.28s,41.8120234,276.881,3.858,-3.755,16.331,1.133,-1.133,12.536,0.024,-0.024,15.8521,0.00072,-0.00072,2016-05-06,2016-05,2016-05-10
K2-332 b,M-Warm Superterran,~ 5.47,2.2,1.17,~ 299,17.7,402,0.73,K2-332 b,K2-332,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,17.70632,6.3E-05,-6.3E-05,0,,,,,2.2,0.19,-0.15,0,0.196,0.017,-0.013,0,,,,,,,,,,,,,,,,,,266,5,-8,0,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,3315,137,-152,0,0.28,0.02,-0.01,0,0.27,0.01,-0.02,0,0.09,0.15,-0.17,0,[Fe/H],4.97,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h03m31.98s,135.8832666,+14d15m01.80s,14.2504994,123.202,1.409,-1.379,,,,12.638,0.026,-0.026,16.4791,0.001002,-0.001002,2021-08-23,2021-08,2021-08-23
Kepler-155 c,M-Warm Superterran,~ 5.66,2.24,1.05,~ 291,52.7,957,0.73,Kepler-155 c,Kepler-155,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,52.661793,0.000236,-0.000236,0,0.242,,,0,2.24,0.15,-0.15,0,0.2,0.013,-0.013,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4508,100,-100,0,0.62,0.03,-0.03,0,,,,,,,,,,4.68,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m58.99s,288.4957831,+51d04m54.94s,51.0819286,293.499,2.279,-2.279,14.654,0.183,-0.183,11.805,0.03,-0.03,14.24,0.000362,-0.000362,2014-05-14,2014-03,2014-05-14
TOI-2257 b (N),M-Warm Superterran,~ 5.43,2.2,0.74,~ 254,35.2,188,0.72,TOI-2257 b (N),TOI-2257,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SCHANCHE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211101749S/abstract target=ref>Schanche et al. 2021</a>,35.189346,9E-05,-9E-05,0,0.145,0.003,-0.003,0,2.194,0.113,-0.111,0,0.196,0.01,-0.01,0,,,,,,,,,,0.496,0.216,-0.133,0,,,,,256,61,-17,0,0,<a refstr=SCHANCHE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211101749S/abstract target=ref>Schanche et al. 2021</a>,M3,3430,130,-130,0,0.31,0.01,-0.01,0,0.33,0.02,-0.02,0,-0.27,0.37,-0.37,0,[Fe/H],4.97,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h58m57.51s,194.7396141,+77d39m42.18s,77.6617157,57.7911,0.1053,-0.1049,15.211,0.034,-0.034,10.673,0.016,-0.016,14.1615,0.000437,-0.000437,2021-11-09,2021-11,2021-11-09
Kepler-443 b,K-Warm Superterran,~ 6.04,2.35,0.89,~ 279,177.7,2615,0.71,Kepler-443 b,Kepler-443,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,177.6693,0.0031,-0.003,0,0.495,0.186,-0.075,0,2.33,0.19,-0.22,0,0.21,0.02,-0.02,0,,,,,,,,,,0.11,0.15,-0.11,-1,0.86,0.29,-0.37,0,,,,,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,,4723,100,-100,0,0.71,0.03,-0.02,0,0.74,0.03,-0.03,0,-0.01,0.1,-0.1,0,[Fe/H],4.61,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h14m26.52s,288.6104839,+49d58m06.76s,49.9685458,802.271,23.26,-22.007,16.207,0.035,-0.035,13.815,0.045,-0.045,15.9005,0.000584,-0.000584,2015-01-06,2015-02,2015-01-06
Kepler-22 b,G-Warm Superterran,—,2.38,1.1,~ 294,289.9,635,0.71,Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BORUCKI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745..120B/abstract target=ref>Borucki et al. 2012</a>,289.8623,0.0016,-0.002,0,0.849,0.018,-0.017,0,2.38,0.13,-0.13,0,0.212,0.012,-0.012,0,36,,,1,0.113,,,1,Mass,0,,,0,,,,,262,,,0,0,<a refstr=BORUCKI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745..120B/abstract target=ref>Borucki et al. 2012</a>,G5 V,5518,44,-44,0,0.98,0.02,-0.02,0,0.97,0.06,-0.06,0,-0.29,0.06,-0.06,0,[Fe/H],4.44,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2014-05-14,2012-02,2014-05-14
Kepler-1701 b,K-Warm Superterran,~ 5.56,2.22,1.42,~ 314,169.1,1904,0.71,Kepler-1701 b,Kepler-1701,1,1,1,Transit,2020,Kepler,Published Confirmed,0,<a refstr=ARMSTRONG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200810516A/abstract target=ref>Armstrong et al. 2020</a>,169.134,,,0,,,,,2.222,,,0,0.198,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5146,25,-25,0,0.84,,,0,0.87,,,0,0.03,0.1,-0.1,0,[M/H],4.53,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m26.13s,286.6088625,+41d53m21.47s,41.8892986,584.142,6.7525,-6.7525,14.722,0.114,-0.114,12.743,0.026,-0.026,14.5504,0.000335,-0.000335,2020-09-08,2020-08,2020-09-03
